"FMID","MarketName","street","city","County","State","zip","Credit","WIC","WICcash","SFMNP","SNAP","Organic","Bakedgoods","Cheese","Crafts","Flowers","Eggs","Seafood","Herbs","Vegetables","Honey","Jams","Maple","Meat","Nursery","Nuts","Plants","Poultry","Prepared","Soap","Trees","Wine","Coffee","Beans","Fruits","Grains","Juices","Mushrooms","PetFood","Tofu","WildHarvested","lon","lat"
1019846,"Adams County Farmer's Market","110 W. Main St.","West Union","Adams","Ohio","45693","Y","N","N","Y","Y","N","Y","N","N","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","N","Y","Y","N","N","Y","N","Y","N","N","N","N","N","N",-83.546459,38.795336
1019676,"Adams County Farmers Market","103 Carlisle Street","Gettysburg","Adams","Pennsylvania","17325","Y","Y","N","Y","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","N","Y","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","N",-77.234147,39.830597
1019351,"Adams County Farmers' Market Association","103 Carlisle Street","Gettysburg","Adams","Pennsylvania","17325","Y","Y","N","Y","Y","N","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","N","N","N","N","Y","Y","N","N","Y","Y","N","Y","N","N","Y","N","N","N",-77.234147,39.830597
1019847,"Adams-Ricci Farmers Market","100 East Penn Drive","Enola","Cumberland","Pennsylvania","17025","Y","Y","N","Y","N","N","Y","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","N","N","N","Y","N","N",-76.937407,40.273997
1019203,"AG Farmers' Market","108 Indian Head Road","Toms River","Ocean","New Jersey","8753","Y","Y","Y","Y","Y","Y","Y","N","Y","N","N","N","Y","Y","Y","Y","N","N","N","N","Y","N","Y","Y","Y","N","Y","N","Y","N","Y","N","Y","N","N",-74.207478,39.992509
1012233,"Agricenter International Farmer's Market","7777 Walnut Grove Rd","Memphis","Shelby","Tennessee","38120","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","Y","N","Y","Y","Y","N","N","Y","N","Y","N","Y","N","N","N","N",-89.801733,35.127452
1008054,"Airport Farmers and Flea Market","17375 Spring Hill Dr","Brooksville","Hernando","Florida","34604","Y","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","N","Y","N","Y",-82.441514,28.481294
1008612,"Alachua County Farmers' Market","5920 NW 13th Street","Gainesville","Alachua","Florida","32653","Y","Y","N","Y","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","N","Y","N","N","Y","Y","N","Y",-82.352515,29.7106652
1018304,"Alamo Heights Farmers Market","255 E Basse","San Antonio ","Bexar","Texas","78209","Y","N","N","N","N",NA,"Y","Y","N","N","Y","N","Y","Y","Y","Y","Y","Y","N","Y","N","Y","Y","Y","N","N","Y","N","Y","N","Y","N","Y","N","N",-98.481174,29.493258
1004070,"Alamosa Farmers Market","Corner of 6th Street and State Avenue's Parking Lot","Alamosa","Alamosa","Colorado","81101","Y","N","N","N","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","N",-105.865006,37.467321
1019371,"Albany IN Farmers Market","208 E. State Street","Albany","Delaware","Indiana","47320","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","N","Y","Y","N","N","N","N","Y","N","N","N","N","N","N",-85.235831,40.299191
1019113,"Alexandria Farmers Market","Broadway & Second Ave","Alexandria","Douglas","Minnesota","56308","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","Y","Y","Y","N","N","Y","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","N",-95.375902,45.890762
1019831,"Allen County Farmers' Market","Jefferson","IOLA","Allen","Kansas","66749","Y","N","N","Y","Y",NA,"Y","N","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N",-95.400669,37.927427
1019832,"Allen County Farmers' Market","807  N. State","Iola","Allen","Kansas","66749","Y","N","N","Y","Y","N","Y","N","Y","N","Y","N","Y","Y","Y","Y","N","Y","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N",-95.400669,37.927427
1012389,"Aloha Community Farmers' Market","17675 SW Farmington Rd and SW Kinnaman Rd","Aloha","Washington","Oregon","97007","Y","Y","N","Y","Y",NA,"Y","N","Y","N","N","N","Y","Y","N","N","N","N","N","Y","Y","N","Y","Y","Y","N","Y","Y","Y","N","N","N","Y","N","N",-122.858722,45.480164
1020150,"Alturas Farmers Market","108 S Main St","Alturas","Modoc","California","96101","Y","Y","N","Y","Y","N","Y","N","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","N","N","N","Y","Y","N","N","N","Y","N","N","N","Y","N","N",-120.542201,41.483907
1011171,"Ames Main Street Farmers' Market","300 & 400 Blocks of  Main Street","Ames, IA","Story","Iowa","50010","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","Y","Y","Y","Y","N","Y","Y","N","Y","N","Y","Y","Y","N","Y",-93.614943,42.025222
1003563,"Amicalola Regional Farmers Market","186 Recreation Road","Dawsonville","Dawson","Georgia","30534","Y","N","N","N","N",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","N","N","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","N","N",-84.099043,34.437795
1019438,"Amqui Station Farmers Market","303 Madison Street","Madison","Davidson","Tennessee","37115","Y","N","N","N","Y",NA,"Y","Y","Y","N","Y","N","N","Y","Y","Y","N","Y","N","Y","N","Y","Y","Y","N","N","N","N","Y","N","N","Y","N","N","N",-86.717491,36.257792
1012157,"Anaconda Community Market","Kennedy Common (306 Main)","Anaconda","Deer Lodge","Montana","59711","Y","N","N","N","Y","N","Y","Y","Y","N","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","N","Y","Y","N","N","Y","N","Y","N","N","N","N","N","N",-113.139108,46.099059
1005944,"Anacortes Farmers Market","611 R Avenue","Anacortes","Skagit","Washington","98221","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y",-122.609181,48.516974
1019647,"Anderson County Farmers Market","402 N. Murray Ave","Anderson","Anderson","South Carolina","29621","Y","Y","Y","Y","Y",NA,"Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","N","N","Y","N","N","N","Y","N","N",-82.652197,34.506898
1020084,"Anderson County Farmers Market ","1505 US-127 N","Lawrenceburg ","Anderson","Kentucky","40342","Y","N","N","Y","N",NA,"Y","N","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N","N","N",-84.917629,38.076447
1003516,"Andersonville Farmers Market","1500 W. Catalpa Ave.","Chicago","Cook","Illinois","60640","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","N","N","N","Y","Y","Y","N","Y","N","Y","Y",-87.668602,41.981745
1020060,"Andover Farmers Market","41 Central Street","Andover","Essex","Massachusetts","1810","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","N","N","Y","N","Y","Y","N","Y","Y","Y","Y","N","N","Y","N","N","N",-71.143138,42.653616
1019484,"Annandale Farmers Market ","6621 Columbia Pike","Annandale ","Fairfax","Virginia","","Y","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","Y","Y","N","Y","N","N","Y","N","Y","N","N","N","Y","N","Y","N","N","N","N","N","N",-77.196229,38.832801
1019096,"Annandale Farmers Market - ACT","25 East Cedar St","Annandale ","Wright","Minnesota","55302","Y","N","N","N","Y","Y","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","N","N","Y","Y","Y","Y","N","N","Y","N","Y","Y","Y","N","Y","N","N",-94.1238322,45.2636097
1018934,"Antigo Farmers Market, Inc.","420 Field Street","Antigo","Langlade","Wisconsin","54409","Y","Y","N","Y","N","N","Y","N","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","Y","Y","N","Y","N","N","N","Y","Y","N","Y","Y","N","N","Y",-89.14985,45.138703
1019350,"Antioch's Farmers Market","900 Skidmore Drive","Antioch","Lake","Illinois","60002","Y","N","N","N","N",NA,"Y","Y","Y","Y","Y","N","N","N","Y","Y","Y","N","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","Y","Y","Y","Y","N","N",-88.09457,42.478128
1019780,"Aquidneck Growers Market - Monday","120 Hillside Ave","Newport ","Newport","Rhode Island","2840","Y","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","N","N","Y","N","Y","Y","N","N","Y",-71.308524,41.508657
1019778,"Aquidneck Growers Market - Wednesday","Memorial Blvd","Newport","Newport","Rhode Island","2840","Y","Y","Y","N","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","N","Y","N","Y","Y","N","Y","Y",-71.305756,41.483666
1019813,"Aquidneck Growers' Markets","324 East Main Rd","Portsmouth","Newport","Rhode Island","2871","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","Y","N","Y","Y","N","N","N",-71.261378,41.546506
1019187,"Argus Farm Stop - Packard","1200 Packard Rd","Ann Arbor, Michigan, United States","Washtenaw","Michigan","48104","Y","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","Y",-83.838671,42.2532638
1019662,"Arlington Village Farmers Market","3904 VT-7A","Arlington","Bennington","Vermont","5250","Y","N","N","N","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","N","Y","N","Y","N","N","Y","N","N","Y",-73.146078,43.072884
1019904,"Armory Farmers Market","85 Parade St","Providence","Providence","Rhode Island","2909","Y","Y","Y","Y","Y",NA,"Y","Y","N","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","Y","N","N","N","Y","Y","Y","N","N","N","N","Y","N",-71.4316,41.814767
1019222,"Arnold Farmers Market","2400 Bradley Beach Road","Arnold","Jefferson","Missouri","63010","Y","N","N","N","N","Y","Y","N","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","N","Y","N","Y",-90.353093,38.453275
1019495,"Artisan Alley Farmers and Makers Market","Artisan Alley","DeLand","Volusia","Florida","32720","Y","N","N","N","Y","N","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","N","N","Y","N","N",-81.304341,29.027562
1020068,"Artistlane Farmers Market","1966 Broad Street","Augusta-Richmond County consolidated government (balance)","Richmond","Georgia","30904","Y","N","N","N","Y",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","Y","Y","Y","Y","Y","Y","N","N","Y",-82.073422,33.365531
1001245,"ASU Regional Farmers Market","3300 Aggie Road","Jonesboro","Craighead","Arkansas","72401","Y","Y","Y","N","Y","N","Y","N","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","N","Y","N","N","N","Y","N","N",-90.667327,35.840771
1002984,"Atchison Farmers Market","Between 5th and 6th Streets on the south side of Main Street","Atchison","Atchison","Kansas","66002","Y","N","N","Y","Y","N","Y","N","N","Y","Y","N","N","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","Y","N","Y","Y","N","Y","N","N","N",-95.119878,39.560737
1005086,"Athens Farmers Market","1002 East State Street","Athens","Athens","Ohio","45701","Y","Y","N","Y","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","N","Y",-82.056622,39.336038
1018033,"Athens Farmers Market, L.L.C.","271 W Hancock Ave","Athens","Clarke","Georgia","30601","Y","N","N","N","Y","Y","Y","N","N","N","Y","N","Y","Y","N","Y","N","N","N","N","N","N","Y","Y","N","Y","N","N","Y","N","Y","N","N","N","N",-83.380247,33.959088
1018032,"Athens Farmers Market, LLC","705 Sunset Dr","Athens","Clarke","Georgia","30606","Y","N","N","N","Y","Y","Y","N","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","Y","Y","Y","N","N",-83.4121317,33.9644564
1018330,"Attleboro Farmers Market, inc","201 County Street","Attleboro ","Bristol","Massachusetts","2703","Y","N","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","Y","Y","N","Y","N","Y","Y","Y","N","Y",-71.299235,41.937562
1021225,"Atwater Village Farmers' Market","3528 Larga Ave","Los Angeles ","Los Angeles","California","90039","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","N","N","N","Y","N","Y","N","N","Y","N","Y","N","Y","Y","Y","Y","N","Y","N",-118.260151,34.117828
1019789,"Auburn Farmers Market","1140 Auburn Way S","Auburn","King","Washington","98002","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","N","N","N","Y","Y","Y","N","Y","N","Y","N","N","Y","Y","N","Y","Y","N","Y","Y","Y","N","N","N","N",-122.218459,47.298267
1000559,"Aurora Local Farmer's Market - Summer Market","2031 S. Elliott Ave.","Aurora","Lawrence","Missouri","65605","Y","N","N","N","N","N","Y","N","Y","Y","Y","N","Y","Y","N","Y","N","N","N","N","Y","N","Y","Y","N","N","N","N","Y","N","N","N","N","N","Y",-93.7201867,36.948908
1019396,"Avon Farmers Market","8190 E US Highway 36","Avon","Hendricks","Indiana","","Y","Y","N","N","Y",NA,"Y","N","Y","Y","Y","N","N","N","Y","Y","N","Y","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N",-86.38263,39.765279
1019126,"Avon Library Farmers Market","281 COUNTRY CLUB RD., C/O AVON LIBRARY","AVON","Hartford","Connecticut","6001","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","N","N","Y","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","Y","N","N","N","Y","N","N",-72.860448,41.78971
1019044,"Bainbridge Farm Market","201 Grant Ave","bainbridge","Putnam","Indiana","46105","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","N","N","N","N","Y","N","N","N","N","N","Y",-86.817696,39.7622329
1019076,"Baldwin's Main St. Farmers Market","Main St. and 6th Ave.","Baldwin","St. Croix","Wisconsin","54002","Y","N","N","N","N","Y","Y","N","N","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","Y","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N",-92.370763,44.966999
1012081,"Bangor Farmers' Market","Corner of Franklin and Harlow Streets","Bangor","Penobscot","Maine","4401","Y","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","Y","Y","Y","N","N","Y","Y","Y","N","N","N","Y","Y","Y","N","Y","N","N","N","N",-68.771649,44.8039587
1020029,"Barrow County Farmers Market","30 N. Broad St","Winder","Barrow","Georgia","30680","Y","N","N","N","N","Y","Y","N","Y","Y","Y","N","Y","Y","Y","Y","N","N","N","Y","Y","N","Y","Y","N","N","Y","N","Y","N","N","Y","N","N","N",-83.721123,33.993074
1003335,"Basalt Sunday Market","101 Midland Avenue","Basalt","Eagle","Colorado","81621","Y","N","N","N","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","N","N","N","Y","Y","N","N","Y","N","Y","Y","Y","Y","N","N","N",-107.034736,39.368957
1019871,"Bassett Farmers Market","200 Clark St.","Bassett","Rock","Nebraska","68714","Y","N","N","N","N",NA,"N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",-99.536625,42.582541
1019712,"Battle Creek Farmers Market","25 S McCamly","Battle Creek","Calhoun","Michigan","49034","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","N","N","Y","N","Y","Y","N","Y","N","Y","Y","N","Y","N","N","N","N",-85.185107,42.31994
1019617,"Bay Area Farmers Market ","500 Baybrook Mall Drive","Friendswood","Harris","Texas","77546","Y","N","N","N","N",NA,"Y","N","N","Y","Y","Y","Y","Y","Y","Y","N","Y","N","Y","N","Y","Y","Y","N","Y","Y","N","Y","N","Y","Y","Y","N","Y",-95.150553,29.548618
1019874,"Beatrice Farmers Market Indian Creek Mall","Indian Creek Mall 2205 N 6th St","Beatrice","Gage","Nebraska","68310","Y","N","N","N","N",NA,"N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",-96.747301,40.273594
1020102,"Beattyville Main Street Marketplace Locally Made Market","26 Hwy 52 W","Beattyville","Lee","Kentucky","41311","Y","Y","N","N","N","N","Y","N","Y","Y","N","N","N","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N",-83.705633,37.591129
1018735,"Beaumont Farmers' Market","","Beaumont, ","Jefferson","Texas","77707","Y","N","N","N","N","N","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","N","Y","N","N","N","N","N","Y",-94.169203,30.067686
1001275,"Beaumont Hospital Royal Oak, Farmers Market","3601 West Thirteen Mile Rd.","Royal Oak","Oakland","Michigan","48073","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","N","Y","Y","Y","N","Y","Y","Y","N","N",-83.192119,42.514952
1019875,"Beaver City Farmers Market","","Beaver City","Furnas","Nebraska","","Y","N","N","N","N",NA,"N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",-99.827615,40.138332
1020097,"Beaver Dam Farmer's Market","Hwy 231 South ","Beaver Dam","Ohio","Kentucky","42320","Y","N","Y","Y","N","N","Y","N","Y","Y","Y","N","N","Y","Y","Y","Y","Y","N","N","N","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N",-86.877647,37.407199
1018759,"Beaverdale Farmers Market","4100 Urbandale Avenue","Des Moines ","Polk","Iowa","50310","Y","Y","N","Y","Y",NA,"Y","N","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","N","N","N","N","Y","N","Y","N","Y","N","N",-93.6731823,41.620058
1019853,"Bedford Farmers Market","190 Meetinghouse Road","Bedford","Hillsborough","New Hampshire","3110","Y","N","N","N","N","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","N","Y","Y","N","N","N",-71.48248,42.950376
1019400,"Bedminster Farmers Market","3055 River Road","Bedminster","Somerset","New Jersey","7921","Y","N","N","N","N","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","Y","N","N","Y",-74.646889,40.662856
1010607,"Bel Air Farmers' Market","2 South Bond Street","Bel Air","Harford","Maryland","21014","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N",-76.351011,39.535284
1008140,"Bellingham Farmers Market","1207 10th Street","Bellingham","Whatcom","Washington","98226","Y","Y","N","Y","Y","Y","Y","N","Y","Y","Y","N","Y","Y","Y","Y","N","N","N","Y","Y","N","Y","Y","Y","N","N","N","Y","N","N","N","N","N","N",-122.469657,48.75262
1002064,"Belmont Farmers Market","5429 State Route 19N","Belmont","Allegany","New York","14813","Y","Y","Y","Y","Y","N","Y","N","Y","N","Y","N","Y","Y","Y","Y","Y","Y","N","N","Y","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N",-78.0565113,42.2489416
1011363,"Belton Farmers Market","Memorial Park","Belton ","Cass","Missouri","64012","Y","N","N","N","N",NA,"Y","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N",-94.525252,38.808556
1001533,"Benica Certified Farmers Market","First Street between B & D Streets","Benicia","Solano","California","94510","Y","Y","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","Y","N","N","Y","Y","N","N","Y","N","Y","N","N","Y","N","N","N",-122.161188,38.046215
1018644,"Bennet Farmers' Market","Elm and Harrison","Bennet","Lancaster","Nebraska","68317","Y","N","N","N","N","Y","Y","N","Y","Y","Y","N","Y","Y","N","Y","N","Y","N","Y","Y","Y","N","Y","Y","N","N","N","Y","N","N","N","N","N","N",-96.503262,40.680612
1005183,"Berkeley Springs Farmers Market","129 Fairfax Street at Washington Street/522","Berkeley Springs","Morgan","West Virginia","25411","Y","N","N","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","N","Y","N","Y","Y","N","N","Y",-78.227534,39.624722
1019005,"Berkey Farmers Market","12290 Sylvania-Metamora Rd","Berkey","Lucas","Ohio","43504","Y","N","N","N","N",NA,"Y","Y","Y","N","N","N","Y","Y","Y","Y","Y","N","N","N","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N",-83.839418,41.715538
1019933,"Berlin Farmers Market","Pitts Street ","Berlin ","Worcester","Maryland","21811","Y","Y","N","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","Y","N","N","Y",-75.219195,38.325291
1019707,"Berwick Winter Farmers Market","11 Sullivan Street","Berwick","York","Maine","3901","Y","N","N","N","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","N","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","N","N",-70.86243,43.269956
1019168,"BESSEMER FARMERS MARKET","1st Avenue N and 19th Street","Bessemer","Jefferson","Alabama","35020","Y","N","N","Y","Y",NA,"N","N","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","Y","N","Y","N","N","N","N",-86.95137,33.40113
1019169,"Bessemer Farmers Market at Medical West","995 9th Ave SW","Bessemer","Jefferson","Alabama","35022","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","Y","Y","Y","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",-86.990644,33.373082
1019967,"Bethalto Market In The Park","213 N Priaire St","Bethalto","Madison","Illinois","62010","Y","N","N","N","N",NA,"Y","N","N","N","N","N","N","Y","Y","Y","N","Y","N","N","Y","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N",-90.053468,38.902967
1010406,"Bethesda Central Farm Market","7600 Arlington Road","Bethesda ","Montgomery","Maryland","20814","Y","Y","Y","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","Y","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","N","Y",-77.09989,38.986761
1018161,"Bettendorf Farmers' Market","2117 State St.","Bettendorf ","Scott","Iowa","52722","Y","Y","Y","Y","Y",NA,"Y","N","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y",-90.501985,41.525159
